accession_number	seq	description	document	type
0001670254-20-000048	9		document_8.pdf	EX-99
0001670254-20-000048	10		document_9.pdf	EX-99
0001670254-20-000048	11		document_10.pdf	EX-99
0001670254-20-000048	12		document_11.pdf	EX-99
0001670254-20-000048	13		document_12.pdf	EX-99
0001670254-20-000048	14		document_13.pdf	EX-99
0001670254-20-000048	15		documents_list.htm	EX-99
0001670254-20-000046	1		primary_doc.xml	C
0001670254-20-000046	2		document_1.pdf	EX-99
0001670254-20-000046	3		document_2.pdf	EX-99
0001670254-20-000046	4		document_3.pdf	EX-99
0001670254-20-000046	5		document_4.pdf	EX-99
0001670254-20-000046	6		document_5.pdf	EX-99
0001670254-20-000046	7		document_6.pdf	EX-99
0001670254-20-000046	8		document_7.pdf	EX-99
0001670254-20-000046	9		documents_list.htm	EX-99
0001670254-20-000019	1		primary_doc.xml	C
0001670254-20-000019	2		document_1.pdf	EX-99
0001670254-20-000019	3		document_2.pdf	EX-99
0001670254-20-000019	4		document_3.pdf	EX-99
0001670254-20-000019	5		document_4.pdf	EX-99
0001670254-20-000019	6		document_5.pdf	EX-99
0001670254-20-000019	7		document_6.pdf	EX-99
0001670254-20-000019	8		document_7.pdf	EX-99
0001670254-20-000019	9		documents_list.htm	EX-99
0001784247-20-000002	1		primary_doc.xml	C/A
0001784247-20-000002	2	MEMO	memodream.pdf	EX-99
0001784247-20-000002	3	FIN	findream.pdf	EX-99
0001670254-20-000036	1		primary_doc.xml	C
0001670254-20-000036	2		document_1.pdf	EX-99
0001670254-20-000036	3		document_2.pdf	EX-99
0001670254-20-000036	4		document_3.pdf	EX-99
0001670254-20-000036	5		document_4.pdf	EX-99
0001670254-20-000036	6		document_5.pdf	EX-99
0001670254-20-000036	7		document_6.pdf	EX-99
0001670254-20-000036	8		document_7.pdf	EX-99
0001670254-20-000036	9		document_8.pdf	EX-99
0001670254-20-000036	10		document_9.pdf	EX-99
0001670254-20-000036	11		document_10.pdf	EX-99
0001670254-20-000036	12		documents_list.htm	EX-99
0001665160-20-000046	1		primary_doc.xml	C/A
0001783580-20-000001	1		primary_doc.xml	C/A
0001783580-20-000001	2	EMBERFUNDFORMCA	emberfundformca.pdf	EX-99
0001783580-20-000002	1		primary_doc.xml	C/A
0001783580-20-000002	2	EMBERFUNDFORMCA	emberfundformca.pdf	EX-99
0001780439-20-000001	1		primary_doc.xml	C
0001780439-20-000001	2	OFFERING MEMORANDUM	EXHIBITAofferingmemorandum.pdf	EX-99
0001780439-20-000001	3	FINANCIAL STATEMENTS	EXHIBITBfinancialstatements.pdf	EX-99
0001780439-20-000001	4	SUBSCRIPTION AGREEMENT	EXHIBITCsubscriptagrmnt.pdf	EX-99
0001780439-20-000001	5	OFFICER & DIRECTOR WORK HISTORY	EXHIBITDworkhistory.pdf	EX-99
0001780439-20-000001	6	RAISE PRESENTATION & WEBSITE	EXHIBITEpresentationwebsite.pdf	EX-99
0001780439-20-000001	7	VIDEO TRANSCRIPT	EXHIBITFvideotranscript.pdf	EX-99
0001780439-20-000001	8	BUSINESS PLAN	EXHIBITGbusinessplan.pdf	EX-99
0001780439-20-000001	9	LEGAL DOCUMENT	EXHIBITHlegaldocuments3.pdf	EX-99
0001748372-20-000002	1		primary_doc.xml	C-TR
0001736423-20-000005	1		primary_doc.xml	C
0001736423-20-000005	2	ACCIYO FORM C	00761271.PDF	EX-99
0001668287-20-000003	1		primary_doc.xml	C
0001668287-20-000003	2		RAZITALLSTANDARDSRISKS.pdf	EX-99
0001668287-20-000003	3		CAFES.pdf	EX-99
0001668287-20-000003	4		AddtlInfoSinuSave.pdf	EX-99
0001668287-20-000003	5		ReviewedStatementsFlat.pdf	EX-99
0001755767-20-000001	1		primary_doc.xml	C/A
0001755767-20-000001	2	4C'S OFFERING STATEMENT	4csos20200122.pdf	EX-99
0001704205-20-000001	1		primary_doc.xml	C
0001704205-20-000001	2	OFFERING STATEMENT	FormCandOS.pdf	EX-99
0001670254-20-000050	1		primary_doc.xml	C
0001670254-20-000050	2		document_1.pdf	EX-99
0001670254-20-000050	3		document_2.pdf	EX-99
0001670254-20-000050	4		document_3.pdf	EX-99
0001670254-20-000050	5		document_4.pdf	EX-99
0001670254-20-000050	6		document_5.pdf	EX-99
0001670254-20-000050	7		document_6.pdf	EX-99
0001670254-20-000050	8		document_7.pdf	EX-99
0001670254-20-000050	9		document_8.pdf	EX-99
0001670254-20-000050	10		document_9.pdf	EX-99
0001670254-20-000050	11		document_10.pdf	EX-99
0001670254-20-000050	12		documents_list.htm	EX-99
0001670254-20-000053	1		primary_doc.xml	C-W
0001774858-20-000001	1		primary_doc.xml	C/A
0001746059-20-000017	1		primary_doc.xml	C-W
0001746059-20-000018	1		primary_doc.xml	C-W
0001791558-20-000001	1		primary_doc.xml	C-U
0001791558-20-000002	1		primary_doc.xml	C-U
0001791558-20-000003	1		primary_doc.xml	C-U
0001791558-20-000004	1		primary_doc.xml	C-U
0001791558-20-000005	1		primary_doc.xml	C-U
0001791558-20-000006	1		primary_doc.xml	C-U
0001791558-20-000007	1		primary_doc.xml	C-U
0001746059-20-000019	1		primary_doc.xml	C-U
0001670254-20-000055	1		primary_doc.xml	C
0001670254-20-000055	2		document_1.pdf	EX-99
0001670254-20-000055	3		document_2.pdf	EX-99
0001670254-20-000055	4		document_3.pdf	EX-99
0001670254-20-000055	5		document_4.pdf	EX-99
0001670254-20-000055	6		document_5.pdf	EX-99
0001670254-20-000055	7		document_6.pdf	EX-99
0001670254-20-000055	8		documents_list.htm	EX-99
0001700943-20-000001	1		primary_doc.xml	C
0001700943-20-000001	2	FORM C	pleiformc.pdf	EX-99
0001700943-20-000001	3	CROWD SAFE	pleisafe.pdf	EX-99
0001700943-20-000001	4	CAMPAIGN PAGE	pleicampaign.pdf	EX-99
0001700943-20-000001	5	VIDEO TRANSCRIPT	pleivid.pdf	EX-99
0001700943-20-000001	6	FINANCIALS	pleifinancials.pdf	EX-99
0001792115-20-000001	1		primary_doc.xml	C-U
0001670254-20-000057	1		primary_doc.xml	C-U
0001799231-20-000001	1		primary_doc.xml	C
0001799231-20-000001	2	HAZN, INC OFFERING STATEMENT	oshazn12320202.pdf	EX-99
0001796532-20-000002	1		primary_doc.xml	C
0001796532-20-000002	2		doc4.pdf	EX-99
0001796532-20-000002	3		doc3.pdf	EX-99
0001796532-20-000002	4		doc1.pdf	EX-99
0001796532-20-000002	5		doc201.jpg	GRAPHIC
0001796532-20-000002	6		doc205.jpg	GRAPHIC
0001796532-20-000002	7		doc204.jpg	GRAPHIC
0001796532-20-000002	8		doc203.jpg	GRAPHIC
0001796532-20-000002	9		doc202.jpg	GRAPHIC
0001796532-20-000002	10		doc206.jpg	GRAPHIC
0001796532-20-000002	11		doc208.jpg	GRAPHIC
0001796532-20-000002	12		doc211.jpg	GRAPHIC
0001796532-20-000002	13		doc209.jpg	GRAPHIC
0001796532-20-000002	14		doc207.jpg	GRAPHIC
0001796532-20-000002	15		doc210.jpg	GRAPHIC
0001796532-20-000002	16		doc212.jpg	GRAPHIC
0001796532-20-000002	17		doc505.jpg	GRAPHIC
0001796532-20-000002	18		doc506.jpg	GRAPHIC
0001796532-20-000002	19		doc504.jpg	GRAPHIC
0001796532-20-000002	20		doc501.jpg	GRAPHIC
0001796532-20-000002	21		doc503.jpg	GRAPHIC
0001796532-20-000002	22		doc507.jpg	GRAPHIC
0001796532-20-000002	23		doc502.jpg	GRAPHIC
0001780439-20-000003	1		primary_doc.xml	C
0001780439-20-000003	2	OFFERING MEMORANDUM	EXHIBITAofferingmemorandum.pdf	EX-99
0001780439-20-000003	3	FINANCIAL STATEMENTS	EXHIBITBfinancials.pdf	EX-99
0001780439-20-000003	4	SUBSCRIPTION AGREEMENT	EXHIBITCsubscripagmnt.pdf	EX-99
0001780439-20-000003	5	RAISE PRESENTATION AND WEBSITE	EXHIBITEpresentation.pdf	EX-99
0001780439-20-000003	6	VIDEO TRANSCRIPT	EXHIBITFtranscript.pdf	EX-99
0001780439-20-000003	7	LEGAL DOCUMENTS	EXHIBITHlegaldocs.pdf	EX-99
0001780439-20-000003	8	WORK HISTORY	EXHIBITDworkhist2.pdf	EX-99
0001780439-20-000003	9	BUSINESS PLAN	EXHIBITGbusinessplan2.pdf	EX-99
0001665160-20-000047	1		primary_doc.xml	C/A
0001665160-20-000048	1		primary_doc.xml	C/A
0001670254-20-000060	1		primary_doc.xml	C/A
0001670254-20-000060	2		document_1.pdf	EX-99
0001670254-20-000060	3		document_2.jpg	GRAPHIC
0001670254-20-000060	4		document_3.pdf	EX-99
0001670254-20-000060	5		document_4.pdf	EX-99
0001670254-20-000060	6		document_5.pdf	EX-99
0001670254-20-000060	7		document_6.pdf	EX-99
0001670254-20-000060	8		document_7.pdf	EX-99
0001670254-20-000060	9		document_8.pdf	EX-99
0001670254-20-000060	10		document_9.pdf	EX-99
0001670254-20-000060	11		documents_list.htm	EX-99
0001670254-20-000061	1		primary_doc.xml	C
0001670254-20-000061	2		document_1.pdf	EX-99
0001670254-20-000061	3		document_2.pdf	EX-99
0001670254-20-000061	4		document_3.pdf	EX-99
0001670254-20-000061	5		document_4.pdf	EX-99
0001670254-20-000061	6		document_5.pdf	EX-99
0001670254-20-000061	7		document_6.pdf	EX-99
0001670254-20-000061	8		document_7.pdf	EX-99
0001670254-20-000061	9		document_8.pdf	EX-99
0001670254-20-000061	10		document_9.pdf	EX-99
0001670254-20-000061	11		document_10.pdf	EX-99
0001670254-20-000061	12		documents_list.htm	EX-99
0001670254-20-000064	1		primary_doc.xml	C/A
0001670254-20-000064	2		document_1.pdf	EX-99
0001670254-20-000064	3		document_2.jpg	GRAPHIC
0001670254-20-000064	4		document_3.pdf	EX-99
0001670254-20-000064	5		document_4.pdf	EX-99
0001670254-20-000064	6		document_5.pdf	EX-99
0001670254-20-000064	7		document_6.pdf	EX-99
0001670254-20-000064	8		document_7.pdf	EX-99
0001670254-20-000064	9		documents_list.htm	EX-99
0001670254-20-000065	1		primary_doc.xml	C
0001670254-20-000065	2		document_1.pdf	EX-99
0001670254-20-000065	3		document_2.pdf	EX-99
0001670254-20-000065	4		document_3.pdf	EX-99
0001670254-20-000065	5		document_4.pdf	EX-99
0001670254-20-000065	6		document_5.pdf	EX-99
0001670254-20-000065	7		document_6.pdf	EX-99
0001670254-20-000065	8		document_7.pdf	EX-99
0001670254-20-000065	9		document_8.pdf	EX-99
0001670254-20-000065	10		document_9.pdf	EX-99
0001670254-20-000065	11		document_10.pdf	EX-99
0001670254-20-000065	12		documents_list.htm	EX-99
0001746059-20-000020	1		primary_doc.xml	C
0001746059-20-000020	2		decarolis_offeringmem.pdf	EX-99
0001746059-20-000020	3		decarolis_appxa.pdf	EX-99
0001746059-20-000020	4		decarolis_appxb.pdf	EX-99
0001746059-20-000020	5		decarolis_noteagmt.pdf	EX-99
0001746059-20-000020	6		decarolis_page.jpg	GRAPHIC
0001670254-20-000069	1		primary_doc.xml	C/A
0001670254-20-000069	2		document_1.pdf	EX-99
0001670254-20-000069	3		document_2.jpg	GRAPHIC
0001670254-20-000069	4		document_3.pdf	EX-99
0001670254-20-000069	5		document_4.pdf	EX-99
0001670254-20-000069	6		document_5.pdf	EX-99
0001670254-20-000069	7		document_6.pdf	EX-99
0001670254-20-000069	8		document_7.pdf	EX-99
0001670254-20-000069	9		document_8.pdf	EX-99
0001670254-20-000069	10		documents_list.htm	EX-99
0001670254-20-000070	1		primary_doc.xml	C/A
0001670254-20-000070	2		document_1.pdf	EX-99
0001670254-20-000070	3		document_2.jpg	GRAPHIC
0001670254-20-000070	4		document_3.pdf	EX-99
0001670254-20-000070	5		document_4.pdf	EX-99
0001670254-20-000070	6		document_5.pdf	EX-99
0001670254-20-000070	7		document_6.pdf	EX-99
0001670254-20-000070	8		document_7.pdf	EX-99
0001670254-20-000070	9		documents_list.htm	EX-99
0001785115-20-000001	1		primary_doc.xml	C
0001785115-20-000001	2	FORMC	boringlifeformc.pdf	EX-99
0001798376-20-000003	1		primary_doc.xml	C-U
0001665160-20-000051	1		primary_doc.xml	C/A
0001665160-20-000051	2		offeringmemoformc.pdf	EX-99
0001669191-20-000019	1		primary_doc.xml	C/A
0001669191-20-000019	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000019	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000019	4	CPA AUDIT REPORT	auditreport.pdf	EX-99
0001669191-20-000019	5	CERTIFICATE OF FORMATION	certificateofformation.pdf	EX-99
0001669191-20-000019	6	OPERATING AGREEMENT	operatingagreement.pdf	EX-99
0001669191-20-000019	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000019	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000019	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001798376-20-000004	1		primary_doc.xml	C-U
0001746059-20-000021	1		primary_doc.xml	C
0001746059-20-000021	2		infin8_offmo.pdf	EX-99
0001746059-20-000021	3		infin8_appa.pdf	EX-99
0001746059-20-000021	4		infin8_appb.pdf	EX-99
0001746059-20-000021	5		infin8_rsn.pdf	EX-99
0001746059-20-000021	6		infin8_page.jpg	GRAPHIC
0001746059-20-000021	7		infin8_bizplan.pdf	EX-99
0001669191-20-000020	1		primary_doc.xml	C/A
0001669191-20-000020	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000020	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000020	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000020	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000020	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000020	7	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000020	8	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001795289-20-000001	1		primary_doc.xml	C
0001795289-20-000001	2	FORM C	formc.pdf	EX-99
0001665160-20-000052	1		primary_doc.xml	C/A
0001790658-20-000001	1		primary_doc.xml	C-U
0001790657-20-000001	1		primary_doc.xml	C-U
0001665160-20-000054	1		primary_doc.xml	C/A
0001669191-20-000022	1		primary_doc.xml	C/A
0001669191-20-000022	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000022	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000022	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000022	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000022	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000022	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000022	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000022	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000024	1		primary_doc.xml	C/A
0001669191-20-000024	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000024	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000024	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000024	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000024	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000024	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000024	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000024	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000027	1		primary_doc.xml	C-U
0001669191-20-000029	1		primary_doc.xml	C/A
0001669191-20-000029	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000029	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000029	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000029	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000029	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000029	7	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000029	8	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000055	1		primary_doc.xml	C/A
0001665160-20-000056	1		primary_doc.xml	C
0001665160-20-000056	2		offeringmemoformc.pdf	EX-99
0001665160-20-000061	1		primary_doc.xml	C
0001665160-20-000061	2		offeringmemoformc.pdf	EX-99
0001665160-20-000059	1		primary_doc.xml	C/A
0001665160-20-000059	2		offeringmemoformc.pdf	EX-99
0001788691-20-000001	1		primary_doc.xml	C
0001788691-20-000001	2	FORM C	formc.pdf	EX-99
0001669191-20-000031	1		primary_doc.xml	C/A
0001669191-20-000031	2	OFFERING STATEMENT PDF	offeringstatementpdf.pdf	EX-99
0001669191-20-000031	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000031	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000031	5	BUSINESS PLAN	businessplan.pdf	EX-99
0001669191-20-000031	6	CERTIFICATE OF FORMATION	certificateofformation.pdf	EX-99
0001669191-20-000031	7	OPERATING AGREEMENT	operatingagreement.pdf	EX-99
0001669191-20-000031	8	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000031	9	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000031	10	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000033	1		primary_doc.xml	C/A
0001669191-20-000033	2	OFFERING STATEMENT PDF	offeringstatementpdf.pdf	EX-99
0001669191-20-000033	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000033	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000033	5	BUSINESS PLAN	businessplan.pdf	EX-99
0001669191-20-000033	6	CERTIFICATE OF FORMATION	certificateofformation.pdf	EX-99
0001669191-20-000033	7	OPERATING AGREEMENT	operatingagreement.pdf	EX-99
0001669191-20-000033	8	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000033	9	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000033	10	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000063	1		primary_doc.xml	C/A
0001755873-20-000001	1		primary_doc.xml	C-AR/A
0001755873-20-000001	2	FORM C-AR AND EXHIBITS	formcarandehibit.pdf	EX-99
0001790424-20-000001	1		primary_doc.xml	C
0001790424-20-000001	2	GREENZONEPHARMS OFFERING STATEMENT	greenzoneos20200128.pdf	EX-99
0001670254-20-000071	1		primary_doc.xml	C
0001670254-20-000071	2		document_1.pdf	EX-99
0001670254-20-000071	3		document_2.pdf	EX-99
0001670254-20-000071	4		document_3.pdf	EX-99
0001670254-20-000071	5		document_4.pdf	EX-99
0001670254-20-000071	6		document_5.pdf	EX-99
0001670254-20-000071	7		document_6.pdf	EX-99
0001670254-20-000071	8		document_7.pdf	EX-99
0001670254-20-000071	9		document_8.pdf	EX-99
0001670254-20-000071	10		documents_list.htm	EX-99
0001746059-20-000023	1		primary_doc.xml	C/A
0001746059-20-000023	2		tipsy_formca.pdf	EX-99
0001746059-20-000023	3		tipsy_notagmtca.pdf	EX-99
0001746059-20-000024	1		primary_doc.xml	C/A
0001746059-20-000024	2		alma_formca.pdf	EX-99
0001665160-20-000065	1		primary_doc.xml	C
0001665160-20-000065	2		offeringmemoformc.pdf	EX-99
0001746059-20-000025	1		primary_doc.xml	C-W
0001746059-20-000026	1		primary_doc.xml	C
0001746059-20-000026	2		9me_offermem.pdf	EX-99
0001746059-20-000026	3		9me_appexa.pdf	EX-99
0001746059-20-000026	4		9me_appexb.pdf	EX-99
0001746059-20-000026	5		9me_noteagmt.pdf	EX-99
0001746059-20-000026	6		9me_pageview.jpg	GRAPHIC
0001765252-20-000002	1		primary_doc.xml	C/A
0001777274-20-000003	1		primary_doc.xml	C/A
0001777274-20-000003	2	FORM C/A	formc.pdf	EX-99
0001746059-20-000027	1		primary_doc.xml	C/A
0001746059-20-000027	2		9me_offermem.pdf	EX-99
0001746059-20-000027	3		9me_noteagmt.pdf	EX-99
0001785164-20-000001	1		primary_doc.xml	C/A
0001669191-20-000035	1		primary_doc.xml	C/A
0001669191-20-000035	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000035	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000035	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000035	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000035	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000035	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000035	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000035	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000035	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000035	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000035	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000035	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001788691-20-000006	1		primary_doc.xml	C/A
0001788691-20-000006	2	FORM C/A	formc.pdf	EX-99
0001785943-20-000001	1		primary_doc.xml	C-U
0001665160-20-000069	1		primary_doc.xml	C-AR
0001665160-20-000069	2		form_car.pdf	EX-99
0001799769-20-000001	1		primary_doc.xml	C
0001799769-20-000001	2	FORM C WITH EXHIBITS	formcegeria.pdf	EX-99
0001706939-20-000001	1		primary_doc.xml	C/A
0001669191-20-000037	1		primary_doc.xml	C/A
0001669191-20-000037	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000037	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000037	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000037	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000037	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000037	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000037	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000037	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000071	1		primary_doc.xml	C
0001665160-20-000071	2		offeringmemoformc.pdf	EX-99
0001665160-20-000073	1		primary_doc.xml	C
0001665160-20-000073	2		offeringmemoformc.pdf	EX-99
0001722137-20-000001	1		primary_doc.xml	C/A
0001722137-20-000001	2	FORMCA	formcaupshift.pdf	EX-99
0001665160-20-000075	1		primary_doc.xml	C
0001665160-20-000075	2		offeringmemoformc.pdf	EX-99
0001665160-20-000079	1		primary_doc.xml	C
0001665160-20-000079	2		offeringmemoformc.pdf	EX-99
0001746059-20-000028	1		primary_doc.xml	C/A
0001746059-20-000028	2		luckygoat_formca2.pdf	EX-99
0001665160-20-000080	1		primary_doc.xml	C/A
0001791223-20-000001	1		primary_doc.xml	C/A
0001791223-20-000001	2	FORM C/A	formc.pdf	EX-99
0001670254-20-000074	1		primary_doc.xml	C
0001670254-20-000074	2		document_1.pdf	EX-99
0001670254-20-000074	3		document_2.pdf	EX-99
0001670254-20-000074	4		document_3.pdf	EX-99
0001670254-20-000074	5		document_4.pdf	EX-99
0001670254-20-000074	6		document_5.pdf	EX-99
0001670254-20-000074	7		document_6.pdf	EX-99
0001670254-20-000074	8		documents_list.htm	EX-99
0001665160-20-000081	1		primary_doc.xml	C/A
0001799973-20-000001	1		primary_doc.xml	C
0001799973-20-000001	2		dispatchformc.pdf	EX-99
0001665160-20-000082	1		primary_doc.xml	C/A
0001794960-20-000001	1		primary_doc.xml	C
0001794960-20-000001	2	FORMC	formc2.pdf	EX-99
0001771551-20-000001	1		primary_doc.xml	C-U
0001669191-20-000039	1		primary_doc.xml	C/A
0001669191-20-000039	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000039	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000039	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000039	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000039	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000039	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000039	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000039	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000039	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000039	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000039	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000039	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000083	1		primary_doc.xml	C/A
0001665160-20-000084	1		primary_doc.xml	C/A
0001665160-20-000085	1		primary_doc.xml	C/A
0001801610-20-000001	1		primary_doc.xml	C
0001801610-20-000001	2	PURE GREEN FRANCHISE CORP FORM C	puregreenfranchisecorpformc.pdf	EX-99
0001677504-20-000001	1		primary_doc.xml	C-TR
0001801610-20-000002	1		primary_doc.xml	C/A
0001801610-20-000002	2	PUREGREENFRANCHISECORPFORMCA	puregreenfranchisecorpformca.pdf	EX-99
0001670254-20-000078	1		primary_doc.xml	C-U
0001730486-20-000001	1		primary_doc.xml	C/A
0001730486-20-000001	2	FORM C/A	formc.pdf	EX-99
0001670254-20-000084	1		primary_doc.xml	C
0001670254-20-000084	2		document_1.pdf	EX-99
0001670254-20-000084	3		document_2.pdf	EX-99
0001670254-20-000084	4		document_3.pdf	EX-99
0001670254-20-000084	5		document_4.pdf	EX-99
0001670254-20-000084	6		document_5.pdf	EX-99
0001670254-20-000084	7		document_6.pdf	EX-99
0001670254-20-000084	8		documents_list.htm	EX-99
0001746059-20-000029	1		primary_doc.xml	C
0001746059-20-000029	2		stoneman_offmo.pdf	EX-99
0001746059-20-000029	3		stoneman_appxa.pdf	EX-99
0001746059-20-000029	4		stoneman_appxb.pdf	EX-99
0001746059-20-000029	5		stoneman_noteagmt.pdf	EX-99
0001746059-20-000029	6		stoneman_vidtran.pdf	EX-99
0001746059-20-000029	7		stoneman_page.jpg	GRAPHIC
0001684004-20-000001	1		primary_doc.xml	C-AR
0001684004-20-000001	2	FORM C-AR	formc-ar.pdf	EX-99
0001669191-20-000042	1		primary_doc.xml	C/A
0001669191-20-000042	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000042	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000042	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000042	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000042	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000042	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000042	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000042	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001793349-20-000001	1		primary_doc.xml	C/A
0001793349-20-000001	2	FORM C/A	formcagrowingtalent02052020.pdf	EX-99
0001670254-20-000086	1		primary_doc.xml	C
